,date,USD/INR exchange rate,Federal funds rate,Ethanol Futures CLOSE,CBOE Volatility Index (VIX) CLOSE,India Inflation data Core CPI,USD / Brazilian Real Rate,ICEUS Sugar #11 CLOSE
236,2020-04-02,76.08,0.08,0.865,50.91,3.9,5.26,10.29
237,2020-04-17,76.5,0.05,0.993,38.15,4.0,5.23,10.37
238,2020-04-23,76.29,0.05,0.9540000000000001,41.38,4.0,5.54,9.84
239,2020-04-30,75.1,0.04,1.031,34.15,4.0,5.34,10.39
240,2020-05-07,75.38,0.05,1.094,31.44,4.0,5.83,10.33
241,2020-05-12,75.39,0.05,1.102,33.04,4.0,5.89,10.25
242,2020-06-09,75.5,1.55,1.2,27.57,7.35,4.9,12.0
243,2020-06-15,75.83,0.08,1.11,34.4,4.0,5.16,12.04
244,2020-06-26,75.63,0.08,1.11,34.73,4.0,5.48,11.55
245,2020-07-10,75.16,0.09,1.32,27.29,4.0,5.33,11.76
246,2020-07-22,74.66,0.1,1.107,24.32,5.5,5.12,11.86
247,2020-08-04,75.11,0.1,1.11,23.76,5.5,5.32,12.78
248,2020-08-14,74.86,0.1,1.23,22.05,5.5,5.37,13.1
249,2020-08-27,73.57,0.09,1.2790000000000001,24.47,5.5,5.57,12.77
250,2020-10-06,73.5,0.09,1.381,29.48,5.5,5.59,13.88
251,2020-11-03,74.86,0.09,1.38,35.55,5.5,5.76,14.72
252,2020-11-18,74.29,0.09,1.42,23.84,5.5,5.36,15.45
253,2020-12-11,73.74,0.09,1.375,23.31,7.61,5.07,14.43
254,2020-12-23,73.66,0.09,1.45,23.31,6.93,5.22,14.83
255,2021-01-06,73.11,0.09,1.5659999999999998,25.07,6.93,5.31,16.25
256,2021-01-29,72.91,0.08,1.749,33.09,4.59,5.46,15.83
257,2021-02-10,72.85,0.07,1.749,21.99,4.59,5.38,16.71
258,2021-02-23,72.37,0.07,1.729,23.11,4.06,5.44,18.41
259,2021-03-17,72.34,0.07,1.7990000000000002,19.23,5.03,5.58,15.99
260,2021-03-31,73.26,0.07,1.885,19.4,5.03,5.63,14.77
261,2021-05-07,73.25,0.06,2.34,18.39,5.52,5.24,17.49
262,2021-05-18,73.08,0.06,2.34,19.72,4.29,5.26,17.21
263,2017-05-04,64.32,0.91,1.501,10.46,2.0,3.1774,15.37
264,2017-09-19,64.29,1.16,1.538,10.18,3.0,3.1325,13.76
265,2018-02-08,64.38,1.42,1.403,33.46,4.0,3.2942,13.58
266,2018-06-27,68.84,1.91,1.4169999999999998,17.91,5.0,3.8624,11.72
267,2018-11-14,71.92,2.2,1.263,21.25,2.0,3.7843,12.65
268,2019-04-03,68.98,2.41,1.304,13.74,3.0,3.859,12.42
269,2019-08-21,71.93,2.12,1.338,15.8,3.0,4.0706,11.39
270,2020-01-08,71.47,1.55,1.334,13.45,7.0,4.09,13.47
271,2017-05-09,64.62,0.91,1.4609999999999999,9.96,2.0,3.1678,15.44
272,2017-09-26,65.72,1.16,1.515,10.17,3.0,3.1932,13.21
273,2018-02-14,63.9,1.42,1.486,19.26,4.0,3.2279,13.4
274,2018-07-06,68.81,1.91,1.439,13.37,4.0,3.8628,11.51
275,2019-04-16,69.43,2.41,1.3319999999999999,12.18,3.0,3.9382,12.51
276,2019-09-04,71.93,2.13,1.291,17.33,4.0,4.1094,11.01
277,2020-01-22,71.18,1.55,1.3430000000000002,12.91,7.0,4.18,14.66
278,2017-05-10,64.41,0.91,1.482,10.21,2.0,3.1403,15.84
279,2017-09-29,65.31,1.06,1.506,9.51,3.0,3.1619,13.54
280,2018-02-20,64.81,1.42,1.4769999999999999,20.6,4.0,3.2692,13.36
281,2018-07-13,68.5,1.91,1.401,12.18,4.0,3.8518,10.96
282,2018-11-30,69.65,2.2,1.2209999999999999,18.07,2.0,3.8669,12.84
283,2019-09-13,70.99,2.14,1.3559999999999999,13.74,4.0,4.0849,10.89
284,2020-03-20,74.94,0.25,1.042,66.04,3.9,5.1,10.91
285,2017-05-12,64.24,0.91,1.508,10.4,2.0,3.1218,15.51
286,2017-10-04,65.15,1.16,1.4380000000000002,9.63,4.0,3.1545,14.25
287,2018-02-27,65.21,1.42,1.469,18.59,4.0,3.2462,13.01
288,2018-07-19,68.74,1.91,1.429,12.87,4.0,3.7681,10.97
289,2018-12-11,71.84,2.19,1.255,21.76,2.0,3.8555,12.83
290,2019-09-25,70.96,1.9,1.444,15.96,4.0,4.1711,11.8
291,2017-05-16,64.13,0.91,1.456,10.65,2.0,3.138,15.88
292,2018-02-28,65.23,1.35,1.47,19.85,4.0,3.2515,13.48
293,2018-07-27,68.61,1.91,1.4369999999999998,13.03,4.0,3.7114,10.88
294,2018-12-19,69.98,2.2,1.229,25.58,2.0,3.8422,12.47
295,2019-05-14,70.25,2.38,1.329,18.06,3.0,4.0017,11.94
296,2017-05-19,64.57,0.91,1.483,12.04,2.0,3.2529,16.38
297,2017-10-13,64.7,1.16,1.431,9.61,4.0,3.1452,14.41
298,2018-03-08,65.13,1.42,1.51,16.54,4.0,3.2553,12.89
299,2018-08-03,68.55,1.91,1.43,11.64,4.0,3.708,10.85
300,2018-12-28,69.93,2.4,1.255,28.34,2.0,3.8813,12.39
301,2019-05-24,69.38,2.38,1.3969999999999998,15.85,3.0,4.0225,11.66
302,2019-10-18,71.09,1.85,1.4369999999999998,14.25,5.0,4.1117,12.32
303,2017-10-17,65.06,1.16,1.411,10.31,4.0,3.1711,14.03
304,2018-03-14,64.99,1.42,1.514,17.23,4.0,3.2862,12.76
305,2018-08-09,68.89,1.91,1.349,11.27,4.0,3.8596,10.84
306,2019-01-03,69.55,2.4,1.274,25.45,2.0,3.7155,11.69
307,2019-10-30,70.98,1.82,1.432,12.33,5.0,4.0184,12.41
308,2017-05-24,64.56,0.91,1.4980000000000002,10.02,2.0,3.2736,15.67
309,2017-10-20,65.04,1.16,1.386,9.97,4.0,3.1926,14.0
310,2018-03-21,65.11,1.44,1.4809999999999999,17.86,4.0,3.3159,12.67
311,2018-08-16,70.1,1.92,1.361,13.45,4.0,3.9116,10.3
312,2019-06-12,69.53,2.37,1.5490000000000002,15.91,3.0,3.8487,12.62
313,2017-10-25,64.84,1.16,1.389,11.23,4.0,3.2906,14.18
314,2018-08-24,69.97,1.92,1.3130000000000002,11.99,4.0,4.102,10.23
315,2019-01-22,71.19,2.4,1.27,20.8,2.0,3.7663,12.93
316,2019-06-21,69.62,2.38,1.575,15.4,3.0,3.8192,12.22
317,2019-11-21,71.79,1.55,1.435,13.13,6.0,4.1966,12.61
318,2017-05-26,64.51,0.91,1.52,9.81,2.0,3.2601,15.05
319,2017-05-31,64.48,0.83,1.5290000000000001,10.41,2.0,3.2506,14.87
320,2018-08-21,69.87,1.92,1.32,12.86,4.0,4.0425,10.17
321,2019-01-31,71.44,2.4,1.3030000000000002,16.57,2.0,3.6597,12.73
322,2019-07-03,68.53,2.41,1.483,12.57,3.0,3.8272,12.54
323,2017-06-01,64.42,0.91,1.554,9.89,2.0,3.2483,14.23
324,2018-04-06,64.93,1.69,1.4340000000000002,21.49,5.0,3.3697,12.34
325,2018-09-07,71.79,1.92,1.2919999999999998,14.88,4.0,4.0597,11.01
326,2019-07-12,68.56,2.38,1.594,12.39,3.0,3.7373,12.3
327,2017-06-06,64.44,0.91,1.5659999999999998,10.45,2.0,3.2695,13.98
328,2017-06-07,64.25,0.91,1.5430000000000001,10.39,2.0,3.2617,14.14
329,2017-11-07,64.92,1.16,1.446,9.89,5.0,3.2548,14.72
330,2018-04-12,65.26,1.69,1.4880000000000002,18.49,5.0,3.4223,12.05
331,2019-02-19,71.01,2.4,1.327,14.88,3.0,3.7277,13.35
332,2019-07-24,69.04,2.4,1.472,12.07,3.0,3.779,12.06
333,2017-06-08,64.25,0.91,1.55,10.16,2.0,3.2971,14.34
334,2017-11-14,65.27,1.16,1.4080000000000001,11.59,5.0,3.3133,15.1
335,2018-04-19,66.21,1.69,1.499,15.96,5.0,3.4130000000000003,11.75
336,2018-09-25,72.6,1.93,1.273,12.42,4.0,4.0322,10.36
337,2019-02-27,70.84,2.4,1.327,14.7,3.0,3.7514,12.91
338,2019-08-02,69.7,2.14,1.445,17.61,3.0,3.8893,12.02
339,2020-01-07,72.0,1.55,1.335,13.79,7.0,4.06,13.59
340,2017-01-04,67.74,0.66,1.507,11.85,3.0,3.1991,20.89
341,2017-06-13,64.24,0.91,1.5490000000000002,10.42,2.0,3.2742,13.79
342,2018-04-26,66.62,1.7,1.4480000000000002,16.24,5.0,3.4568,10.97
343,2019-03-08,70.01,2.4,1.2990000000000002,16.05,3.0,3.8668,12.18
344,2019-08-14,71.28,2.12,1.268,22.1,3.0,3.991,11.61
345,2020-01-17,71.04,1.55,1.349,12.1,7.0,4.16,14.45
346,2017-01-05,68.12,0.66,1.551,11.67,3.0,3.2241,20.78
347,2017-06-15,64.47,1.16,1.571,10.9,2.0,3.2933,13.47
348,2017-11-16,65.02,1.16,1.415,11.76,5.0,3.2574,15.26
349,2018-05-02,66.67,1.7,1.429,15.97,5.0,3.5282,11.75
350,2019-08-23,71.51,2.12,1.317,19.87,3.0,4.1198,11.47
351,2020-03-13,73.94,1.09,1.181,57.83,4.2,4.79,11.7
352,2017-01-06,68.12,0.66,1.551,11.32,3.0,3.2241,20.75
353,2017-06-20,64.53,1.16,1.515,10.86,2.0,3.3363,13.61
354,2018-10-12,73.61,2.18,1.3090000000000002,21.31,3.0,3.783,13.07
355,2019-03-26,69.1,2.4,1.3730000000000002,14.68,3.0,3.9935,12.59
356,2019-08-28,71.69,2.12,1.34,19.35,3.0,4.1688,11.37
357,2020-06-02,75.52,0.05,1.138,26.84,4.0,5.33,11.22
